Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange
1139,48.0,96.0,1.0,2805.0,34.0
1768,144.0,16.0,0.0,2805.0,34.0
599,51.0,7.0,0.0,2805.0,34.0
1384,51.0,45.0,2.0,2805.0,34.0
308,9.0,17.0,0.0,2805.0,34.0
360,11.0,19.0,0.0,2805.0,34.0
70,0.0,0.0,0.0,2805.0,34.0
46,2.0,2.0,0.0,2805.0,34.0
1464,95.0,53.0,0.0,2805.0,34.0
42,1.0,1.0,0.0,2805.0,34.0
205,7.0,9.0,0.0,2805.0,34.0
102,1.0,11.0,0.0,2805.0,34.0
65928,0.0,2648.0,0.0,2805.0,34.0
230,3.0,14.0,1.0,2805.0,34.0
109,1.0,2.0,0.0,2805.0,34.0
210,0.0,4.0,0.0,2805.0,34.0
1,0.0,3.0,0.0,2805.0,34.0
465,2.0,33.0,0.0,2805.0,34.0
124,2.0,0.0,0.0,2805.0,34.0
452,6.0,25.0,0.0,2805.0,34.0
86,0.0,40.0,1.0,2805.0,34.0
139,7.0,1.0,0.0,2805.0,34.0
107,5.0,0.0,0.0,2805.0,34.0
664,20.0,38.0,0.0,2805.0,34.0
55,0.0,1.0,0.0,2805.0,34.0
82,3.0,2.0,0.0,2805.0,34.0
124,1.0,11.0,0.0,2805.0,34.0
110,2.0,5.0,0.0,2805.0,34.0
232,13.0,3.0,0.0,2805.0,34.0
138,2.0,6.0,0.0,2805.0,34.0
260,1.0,33.0,0.0,2805.0,34.0
161,0.0,5.0,0.0,2805.0,34.0
106,2.0,1.0,0.0,2805.0,34.0
25,-1.0,0.0,0.0,2805.0,34.0
651,1.0,39.0,0.0,2805.0,34.0
297,6.0,6.0,0.0,2805.0,34.0
1,0.0,2.0,0.0,2805.0,34.0
999,64.0,36.0,1.0,2805.0,34.0
363,18.0,0.0,0.0,2805.0,34.0
53,1.0,2.0,0.0,2805.0,34.0
1177,21.0,44.0,2.0,2805.0,34.0
441,22.0,15.0,0.0,2805.0,34.0
56,0.0,2.0,0.0,2805.0,34.0
1781,55.0,79.0,1.0,2805.0,34.0
98,1.0,3.0,0.0,2805.0,34.0
4347,78.0,237.0,1.0,2805.0,34.0
484,10.0,17.0,2.0,2805.0,34.0
803,18.0,18.0,0.0,2805.0,34.0
377,10.0,9.0,0.0,2805.0,34.0
114,4.0,1.0,0.0,2805.0,34.0
600,1.0,15.0,0.0,2805.0,34.0
39,0.0,0.0,0.0,2805.0,34.0
265,2.0,12.0,0.0,2805.0,34.0
62,1.0,1.0,0.0,2805.0,34.0
128,1.0,3.0,0.0,2805.0,34.0
248,2.0,8.0,0.0,2805.0,34.0
5258,100.0,168.0,2.0,2805.0,34.0
77,6.0,2.0,0.0,2805.0,34.0
196,1.0,12.0,0.0,2805.0,34.0
1870,4.0,154.0,1.0,2805.0,34.0
821,28.0,35.0,0.0,2805.0,34.0
258,1.0,31.0,0.0,2805.0,34.0
177,0.0,0.0,0.0,2805.0,34.0
117,3.0,1.0,0.0,2805.0,34.0
94,0.0,0.0,0.0,2805.0,34.0
87,9.0,3.0,0.0,2805.0,34.0
17,0.0,0.0,0.0,2805.0,34.0
94,2.0,1.0,0.0,2805.0,34.0
314,9.0,17.0,1.0,2805.0,34.0
466,9.0,15.0,0.0,2805.0,34.0
737,16.0,15.0,1.0,2805.0,34.0
170,2.0,1.0,0.0,2805.0,34.0
6163,111.0,309.0,2.0,2805.0,34.0
181,1.0,2.0,0.0,2805.0,34.0
3,0.0,0.0,0.0,2805.0,34.0
471,30.0,3.0,0.0,2805.0,34.0
329,4.0,18.0,0.0,2805.0,34.0
174,6.0,4.0,0.0,2805.0,34.0
91,0.0,9.0,0.0,2805.0,34.0
7223,187.0,167.0,3.0,2805.0,34.0
648,1.0,35.0,0.0,2805.0,34.0
3048,16.0,59.0,1.0,2805.0,34.0
209,0.0,32.0,0.0,2805.0,34.0
67,0.0,5.0,1.0,2805.0,34.0
286,5.0,9.0,0.0,2805.0,34.0
52,0.0,0.0,0.0,2805.0,34.0
1,0.0,3.0,0.0,2805.0,34.0
1077,15.0,31.0,0.0,2805.0,34.0
545,12.0,23.0,3.0,2805.0,34.0
2,0.0,1.0,0.0,2805.0,34.0
337,8.0,9.0,2.0,2805.0,34.0
2,0.0,9.0,2.0,2805.0,34.0
77,1.0,2.0,0.0,2805.0,34.0
80,6.0,1.0,0.0,2805.0,34.0
94,7.0,11.0,2.0,2805.0,34.0
84,1.0,2.0,0.0,2805.0,34.0
1,0.0,2.0,0.0,2805.0,34.0
107,5.0,6.0,0.0,2805.0,34.0
122,4.0,3.0,0.0,2805.0,34.0
7,0.0,3.0,0.0,2805.0,34.0
386,0.0,22.0,0.0,2805.0,34.0
112,0.0,1.0,0.0,2805.0,34.0
1,0.0,1.0,0.0,2805.0,34.0
1,0.0,1.0,0.0,2805.0,34.0
1040,23.0,8.0,1.0,2805.0,34.0
126,3.0,3.0,0.0,2805.0,34.0
113,1.0,9.0,0.0,2805.0,34.0
86,3.0,4.0,0.0,2805.0,34.0
77,0.0,2.0,0.0,2805.0,34.0
84,0.0,6.0,1.0,2805.0,34.0
29,2.0,1.0,0.0,2805.0,34.0
167,2.0,2.0,0.0,2805.0,34.0
2,0.0,0.0,0.0,2805.0,34.0
443,1.0,38.0,0.0,2805.0,34.0
142,3.0,16.0,0.0,2805.0,34.0
28,0.0,0.0,0.0,2805.0,34.0
1,0.0,0.0,0.0,2805.0,34.0
183,5.0,2.0,1.0,2805.0,34.0
1428,36.0,40.0,1.0,2805.0,34.0
538,13.0,11.0,0.0,2805.0,34.0
141,3.0,10.0,0.0,2805.0,34.0
87,1.0,7.0,0.0,2805.0,34.0
522,17.0,15.0,0.0,2805.0,34.0
95,0.0,9.0,0.0,2805.0,34.0
85,1.0,5.0,0.0,2805.0,34.0
155,7.0,4.0,0.0,2805.0,34.0
87,1.0,3.0,0.0,2805.0,34.0
197,5.0,1.0,0.0,2805.0,34.0
1,0.0,2.0,0.0,2805.0,34.0
128,1.0,12.0,0.0,2805.0,34.0
15,0.0,1.0,0.0,2805.0,34.0
40,0.0,3.0,0.0,2805.0,34.0
197,-1.0,25.0,0.0,2805.0,34.0
802,17.0,48.0,0.0,2805.0,34.0
415,14.0,10.0,0.0,2805.0,34.0
23,1.0,1.0,0.0,2805.0,34.0
87,1.0,5.0,0.0,2805.0,34.0
2,0.0,2.0,0.0,2805.0,34.0
365,4.0,32.0,0.0,2805.0,34.0
190,6.0,6.0,0.0,2805.0,34.0
106,7.0,3.0,0.0,2805.0,34.0
542,1.0,50.0,0.0,2805.0,34.0
66,0.0,2.0,0.0,2805.0,34.0
2,0.0,0.0,0.0,2805.0,34.0
2,0.0,0.0,0.0,2805.0,34.0
1,0.0,2.0,0.0,2805.0,34.0
74,5.0,3.0,1.0,2805.0,34.0
222,1.0,27.0,0.0,2805.0,34.0
399,5.0,33.0,0.0,2805.0,34.0
642,42.0,25.0,0.0,2805.0,34.0
212,5.0,5.0,0.0,2805.0,34.0
37,0.0,1.0,0.0,2805.0,34.0
20,1.0,1.0,0.0,2805.0,34.0
1233,24.0,29.0,0.0,2805.0,34.0
172,0.0,16.0,0.0,2805.0,34.0
2,0.0,1.0,0.0,2805.0,34.0
62,0.0,3.0,0.0,2805.0,34.0
343,2.0,43.0,0.0,2805.0,34.0
302,4.0,9.0,3.0,2805.0,34.0
371,10.0,28.0,2.0,2805.0,34.0
372,7.0,15.0,0.0,2805.0,34.0
19,0.0,0.0,0.0,2805.0,34.0
90,7.0,1.0,0.0,2805.0,34.0
52,1.0,0.0,0.0,2805.0,34.0
20,2.0,1.0,0.0,2805.0,34.0
42,1.0,0.0,0.0,2805.0,34.0
134,0.0,4.0,0.0,2805.0,34.0
890,44.0,10.0,0.0,2805.0,34.0
123,0.0,15.0,0.0,2805.0,34.0
1,0.0,1.0,0.0,2805.0,34.0
74,0.0,8.0,0.0,2805.0,34.0
295,1.0,21.0,0.0,2805.0,34.0
816,-19.0,17.0,0.0,463.0,0.0
26,0.0,0.0,0.0,84.0,1.0
328,0.0,4.0,0.0,479.0,9.0
18,0.0,0.0,0.0,20.0,0.0
54,0.0,2.0,0.0,113.0,0.0
27257,333.0,692.0,1.0,16952.0,188.0
14,2.0,0.0,0.0,11.0,0.0
7,0.0,0.0,0.0,5.0,0.0
121,-1.0,4.0,0.0,90.0,0.0
20,0.0,3.0,0.0,16.0,0.0
15,0.0,1.0,0.0,11.0,0.0
54,1.0,1.0,0.0,42.0,0.0
1937,18.0,56.0,0.0,1187.0,14.0
122,2.0,1.0,0.0,77.0,2.0
85,0.0,6.0,0.0,70.0,1.0
42,2.0,1.0,0.0,31.0,0.0
1675,2.0,10.0,0.0,552.0,19.0
37,1.0,2.0,0.0,27.0,2.0
29,2.0,0.0,0.0,18.0,0.0
70,0.0,1.0,0.0,50.0,1.0
16,0.0,0.0,0.0,16.0,1.0
68,4.0,1.0,0.0,50.0,0.0
68,3.0,1.0,0.0,30.0,2.0
69,0.0,0.0,0.0,55.0,0.0
21,1.0,0.0,0.0,15.0,0.0
113,2.0,2.0,0.0,69.0,1.0
113,3.0,0.0,0.0,73.0,8.0
35,0.0,3.0,0.0,31.0,0.0
80,2.0,1.0,0.0,67.0,0.0
648,5.0,2.0,0.0,382.0,1.0
1097,13.0,29.0,0.0,696.0,1.0
36,0.0,1.0,0.0,25.0,1.0
9,0.0,0.0,0.0,7.0,0.0
36,2.0,1.0,0.0,28.0,1.0
80,1.0,2.0,0.0,62.0,0.0
229,17.0,2.0,0.0,92.0,0.0
471,9.0,22.0,0.0,245.0,0.0
66,3.0,0.0,0.0,31.0,1.0
30,0.0,0.0,0.0,28.0,0.0
50,0.0,1.0,0.0,22.0,1.0
67,1.0,0.0,0.0,26.0,0.0
6,1.0,0.0,0.0,2.0,0.0
28,0.0,0.0,0.0,19.0,0.0
26,0.0,0.0,0.0,17.0,0.0
63,0.0,4.0,0.0,48.0,1.0
174,3.0,0.0,0.0,112.0,1.0
40,2.0,0.0,0.0,27.0,0.0
55,-1.0,0.0,0.0,22.0,2.0
46,2.0,0.0,0.0,41.0,2.0
80,1.0,3.0,0.0,70.0,0.0
14,0.0,0.0,0.0,10.0,0.0
44,1.0,1.0,0.0,31.0,1.0
21,0.0,0.0,0.0,18.0,0.0
40,0.0,0.0,0.0,33.0,0.0
21,0.0,0.0,0.0,13.0,0.0
305,1.0,17.0,0.0,212.0,1.0
50,1.0,0.0,0.0,38.0,1.0
884,51.0,9.0,0.0,521.0,11.0
48,1.0,0.0,0.0,41.0,0.0
18,1.0,1.0,0.0,14.0,0.0
31,4.0,0.0,0.0,14.0,0.0
44,0.0,1.0,0.0,33.0,0.0
1136,24.0,80.0,0.0,886.0,11.0
355,-1.0,13.0,0.0,289.0,0.0
29,1.0,3.0,0.0,18.0,1.0
37,0.0,0.0,0.0,33.0,3.0
35,0.0,2.0,0.0,30.0,0.0
114,1.0,16.0,1.0,90.0,1.0
50,0.0,0.0,0.0,35.0,0.0
990,2.0,18.0,0.0,615.0,2.0
32,1.0,0.0,0.0,25.0,0.0
9,0.0,0.0,0.0,5.0,0.0
66,2.0,0.0,0.0,23.0,1.0
